Data_Coleta;Indicador;Ano;Periodo;Valor
2026-05-20;IPCA (variação %);2026;Há 4 semanas;4.8
2026-05-20;IPCA (variação %);2026;Há 1 semana;4.91
2026-05-20;IPCA (variação %);2026;Hoje;4.92
2026-05-20;IPCA (variação %);2027;Há 4 semanas;3.99
2026-05-20;IPCA (variação %);2027;Há 1 semana;4.0
2026-05-20;IPCA (variação %);2027;Hoje;4.0
2026-05-20;IPCA (variação %);2028;Há 4 semanas;3.6
2026-05-20;IPCA (variação %);2028;Há 1 semana;3.64
2026-05-20;IPCA (variação %);2028;Hoje;3.65
2026-05-20;IPCA (variação %);2029;Há 4 semanas;3.5
2026-05-20;IPCA (variação %);2029;Há 1 semana;3.5
2026-05-20;IPCA (variação %);2029;Hoje;3.5
2026-05-20;PIB Total;2026;Há 4 semanas;1.86
2026-05-20;PIB Total;2026;Há 1 semana;1.85
2026-05-20;PIB Total;2026;Hoje;1.85
2026-05-20;PIB Total;2027;Há 4 semanas;1.8
2026-05-20;PIB Total;2027;Há 1 semana;1.76
2026-05-20;PIB Total;2027;Hoje;1.77
2026-05-20;PIB Total;2028;Há 4 semanas;2.0
2026-05-20;PIB Total;2028;Há 1 semana;2.0
2026-05-20;PIB Total;2028;Hoje;2.0
2026-05-20;PIB Total;2029;Há 4 semanas;2.0
2026-05-20;PIB Total;2029;Há 1 semana;2.0
2026-05-20;PIB Total;2029;Hoje;2.0
2026-05-20;Câmbio (R$/US$);2026;Há 4 semanas;5.3
2026-05-20;Câmbio (R$/US$);2026;Há 1 semana;5.2
2026-05-20;Câmbio (R$/US$);2026;Hoje;5.2
2026-05-20;Câmbio (R$/US$);2027;Há 4 semanas;5.35
2026-05-20;Câmbio (R$/US$);2027;Há 1 semana;5.3
2026-05-20;Câmbio (R$/US$);2027;Hoje;5.27
2026-05-20;Câmbio (R$/US$);2028;Há 4 semanas;5.4
2026-05-20;Câmbio (R$/US$);2028;Há 1 semana;5.35
2026-05-20;Câmbio (R$/US$);2028;Hoje;5.34
2026-05-20;Câmbio (R$/US$);2029;Há 4 semanas;5.45
2026-05-20;Câmbio (R$/US$);2029;Há 1 semana;5.4
2026-05-20;Câmbio (R$/US$);2029;Hoje;5.4
2026-05-20;Selic;2026;Há 4 semanas;13.0
2026-05-20;Selic;2026;Há 1 semana;13.0
2026-05-20;Selic;2026;Hoje;13.25
2026-05-20;Selic;2027;Há 4 semanas;11.0
2026-05-20;Selic;2027;Há 1 semana;11.25
2026-05-20;Selic;2027;Hoje;11.25
2026-05-20;Selic;2028;Há 4 semanas;10.0
2026-05-20;Selic;2028;Há 1 semana;10.0
2026-05-20;Selic;2028;Hoje;10.0
2026-05-20;Selic;2029;Há 4 semanas;9.88
2026-05-20;Selic;2029;Há 1 semana;10.0
2026-05-20;Selic;2029;Hoje;10.0
2026-05-20;IGP-M;2026;Há 4 semanas;4.66
2026-05-20;IGP-M;2026;Há 1 semana;5.6
2026-05-20;IGP-M;2026;Hoje;5.63
2026-05-20;IGP-M;2027;Há 4 semanas;4.0
2026-05-20;IGP-M;2027;Há 1 semana;4.0
2026-05-20;IGP-M;2027;Hoje;4.0
2026-05-20;IGP-M;2028;Há 4 semanas;3.82
2026-05-20;IGP-M;2028;Há 1 semana;3.82
2026-05-20;IGP-M;2028;Hoje;3.82
2026-05-20;IGP-M;2029;Há 4 semanas;3.7
2026-05-20;IGP-M;2029;Há 1 semana;3.7
2026-05-20;IGP-M;2029;Hoje;3.7
